n,a(n)
0,0
1,0
2,1
3,0
4,2
5,0
6,2
7,2
8,1
9,6
10,0
11,5
12,0
13,2
14,6
15,5
16,4
17,0
18,5
19,3
20,0
21,3
22,2
23,9
24,0
25,4
26,9
27,3
28,6
29,14
30,0
31,6
32,3
33,5
34,15
35,0
36,5
37,3
38,5
39,2
40,17
41,0
42,6
43,11
44,0
45,3
46,8
47,0
48,3
49,3
50,1
51,42
52,0
53,5
54,15
55,20
56,0
57,4
58,32
59,0
60,3
61,11
62,18
63,0
64,4
65,7
66,0
67,3
68,7
69,3
70,2
71,31
72,0
73,6
74,31
75,3
76,6
77,3
78,2
79,8
80,33
81,0
82,9
83,56
84,0
85,3
86,8
87,7
88,19
89,0
90,5
91,37
92,0
93,3
94,8
95,8
96,1
97,46
98,0
99,6
100,23
101,0
102,3
103,9
104,21
105,0
106,4
107,42
108,56
109,25
110,0
111,5
112,21
113,8
114,18
115,52
116,0
117,6
118,18
119,4
120,13
121,0
122,5
123,11
124,62
125,0
126,4
127,7
128,40
129,0
130,4
131,4
132,1
133,36
134,0
135,5
136,13
137,16
138,0
139,4
140,8
141,27
142,0
143,4
144,4
145,1
146,13
147,10
148,0
149,6
150,32
151,92
152,0
153,4
154,9
155,51
156,0
157,4
158,4
159,1
160,14
161,131
162,0
163,6
164,14
165,4
166,7
167,39
168,0
169,6
170,6
171,1
172,12
173,0
174,5
175,39
176,8
177,36
178,44
179,0
180,6
181,10
182,34
183,0
184,4
185,19
186,97
187,0
188,4
189,4
190,1
191,19
192,6
193,12
194,21
195,82
196,0
197,9
198,43
199,0
200,3
201,98
202,0
203,3
204,3
205,1
206,15
207,152
208,0
209,6
210,17
211,170
212,0
213,4
214,24
215,0
216,3
217,12
218,24
219,4
220,6
221,11
222,98
223,21
224,29
225,0
226,10
227,45
228,0
229,3
230,13
231,84
232,0
233,4
234,14
235,70
236,0
237,4
238,4
239,1
240,34
241,58
242,0
243,6
244,23
245,144
246,0
247,4
248,9
249,51
250,94
251,0
252,5
253,78
254,0
255,3
256,26
257,0
258,3
259,3
260,1
261,21
262,38
263,0
264,6
265,21
266,4
267,19
268,76
269,0
270,6
271,6
272,1
273,12
274,56
275,166
276,0
277,7
278,111
279,0
280,3
281,21
282,16
283,145
284,0
285,5
286,33
287,206
288,0
289,4
290,23
291,46
292,194
293,0
294,5
295,9
296,47
297,0
298,4
299,9
300,4
301,2
302,223
303,0
304,6
305,33
306,19
307,39
308,132
309,0
310,6
311,6
312,1
313,40
314,185
315,0
316,6
317,5
318,23
319,28
320,0
321,5
322,4
323,22
324,0
325,4
326,3
327,46
328,36
329,151
330,0
331,6
332,15
333,126
334,0
335,4
336,10
337,110
338,0
339,4
340,4
341,1
342,29
343,118
344,0
345,6
346,14
347,112
348,0
349,4
350,9
351,51
352,102
353,0
354,5
355,33
356,50
357,0
358,4
359,9
360,9
361,1
362,20
363,307
364,0
365,7
366,88
367,0
368,3
369,42
370,262
371,0
372,4
373,14
374,27
375,233
376,0
377,5
378,23
379,60
380,0
381,4
382,9
383,22
384,60
385,5
386,8
387,210
388,0
389,8
390,3
391,22
392,8
393,3
394,3
395,1
396,34
397,156
398,0
399,10
400,63
401,0
402,3
403,8
404,11
405,183
406,0
407,5
408,22
409,17
410,199
411,0
412,5
413,5
414,1
415,19
416,109
417,0
418,6
419,73
420,0
421,3
422,19
423,7
424,58
425,183
426,20
427,64
428,0
429,8
430,26
431,174
432,0
433,4
434,52
435,319
436,0
437,4
438,4
439,1
440,25
441,331
442,0
443,6
444,25
445,4
446,7
447,23
448,69
449,0
450,7
451,4
452,6
453,9
454,71
455,0
456,6
457,4
458,6
459,2
460,158
461,0
462,6
463,4
464,6
465,2
466,6
467,2
468,2
469,1
470,30
471,0
472,10
473,73
474,54
475,0
476,4
477,13
478,247
479,0
480,4
481,4
482,1
483,13
484,6
485,18
486,367
487,0
488,8
489,59
490,0
491,3
492,70
493,257
494,0
495,4
496,14
497,123
498,0
499,4
500,4
501,1
502,19
503,80
504,0
505,6
506,21
507,225
508,0
509,4
510,9
511,57
512,0
513,4
514,4
515,1
516,14
517,20
518,91
519,0
520,7
521,70
522,29
523,180
524,0
525,5
526,112
527,179
528,0
529,4
530,15
531,198
